worker_tests,worker_tests,lr,loss_mean,loss_std,price_mean,price_std,algorithm,recall,recall_std,precision,precision_std,f_beta,f_beta_std,machine_tests,corr,select_conf,baseround_items,total_items,expert_cost,theta,filters_num,machine_acc_range
5,5,10,0.5619600000000001,0.08374030331925005,0.0,0.0,Machines-Ensemble,95.71974258067243,2.459784873252482,41.155213093097956,4.693143672066986,85.22234912566209,2.113913167042405,50,0.0,0.95,20,1000,20,0.3,4,"[0.5, 0.75]"
5,5,10,0.20251999999999998,0.053582922652651195,5.05106,0.8526325447694335,Hybrid-Ensemble (NBayes),95.9281412093581,2.088903228087201,80.63469825889266,9.069329722035592,94.13519506114017,1.486053997651109,50,0.0,0.95,20,1000,20,0.3,4,"[0.5, 0.75]"
5,5,10,0.21417999999999998,0.06238194931228103,5.3209,0.9563684279606892,Hybrid-Ensemble (Regression),95.76424918273558,2.088903228087201,80.63469825889266,9.069329722035592,94.13519506114017,1.486053997651109,50,0.0,0.95,20,1000,20,0.3,4,"[0.5, 0.75]"
5,5,10,0.70036,0.0726010358052831,0.0,0.0,Machines-Ensemble,94.5410294147344,3.9662097206063,35.936885207123034,4.051645476086438,82.05478661324068,2.073050647091205,50,0.2,0.95,20,1000,20,0.3,4,"[0.5, 0.75]"
5,5,10,0.22306000000000004,0.07189503738089298,5.87578,1.0941735198769893,Hybrid-Ensemble (NBayes),96.03391267250932,2.7486801735131494,76.78615465566737,11.525305303323202,93.59282591730151,2.0993143245531356,50,0.2,0.95,20,1000,20,0.3,4,"[0.5, 0.75]"
5,5,10,0.23856,0.07081529778232949,6.017319999999999,1.1390523506845505,Hybrid-Ensemble (Regression),95.27120180597008,2.7486801735131494,76.78615465566737,11.525305303323202,93.59282591730151,2.0993143245531356,50,0.2,0.95,20,1000,20,0.3,4,"[0.5, 0.75]"
5,5,10,0.74512,0.07668445474801264,0.0,0.0,Machines-Ensemble,93.42607712543384,4.87166467557653,35.30819460526276,3.316667312124976,81.01807916805346,2.4904377552687285,50,0.3,0.95,20,1000,20,0.3,4,"[0.5, 0.75]"
5,5,10,0.22274000000000002,0.0559377546921576,6.03156,0.9480943657674589,Hybrid-Ensemble (NBayes),96.51664125440091,2.1464746547881206,73.99620355071701,10.193401544732374,93.66596371569892,1.6264926233164878,50,0.3,0.95,20,1000,20,0.3,4,"[0.5, 0.75]"
5,5,10,0.24956000000000003,0.08661989609783655,6.3817,1.5402664477290935,Hybrid-Ensemble (Regression),95.88532212243425,2.1464746547881206,73.99620355071701,10.193401544732374,93.66596371569892,1.6264926233164878,50,0.3,0.95,20,1000,20,0.3,4,"[0.5, 0.75]"
5,5,10,0.22127999999999998,0.07976015045121217,5.88988,1.4467671497514727,Hybrid-Ensemble (1 best machine),95.93288590604027,2.8000656333399077,77.43321713658685,13.425574333961116,93.45199507519622,2.234176334052782,50,0.3,0.95,20,1000,20,0.3,4,"[0.5, 0.75]"
5,5,10,0.7739800000000001,0.12724472326976863,0.0,0.0,Machines-Ensemble,93.98264282984712,7.200951173525779,33.320571765642306,3.0431286337228256,80.32663933329123,4.155296885192322,50,0.5,0.95,20,1000,20,0.3,4,"[0.5, 0.75]"
